1zsb 2.00 1996 0.60 ----- 1zsb.pdf 222.245
1f9g 2.00 2001 1.28 ----- 1f9g.pdf 176.124
1b74 2.30 2000 1.30 ----- 1b74.pdf 147.152
1qpb 2.40 2000 1.36 ----- 1qpb.pdf 87.077
1tnk 1.80 1994 1.49 ----- 1tnh.pdf 136.214
1a7t 1.85 1998 1.64 ----- 1a7t.pdf 196.245
1rdj 1.80 1996 1.66 ----- 1rdi.pdf 164.156
1af6 2.40 1998 1.82 ----- 1af6.pdf 342.296
1bra 2.20 1994 1.82 ----- 1bra.pdf 121.160
1d5r 2.10 1999 1.82 ----- 1d5r.pdf 150.087
1rdn 1.80 1996 1.84 ----- 1rdi.pdf 221.208
1tnl 1.90 1994 1.88 ----- 1tnh.pdf 134.198
1f2p 1.80 2001 1.90 ----- 1f2o.pdf 166.197
1f2o 1.70 2001 1.91 ----- 1f2o.pdf 132.181
1tnj 1.80 1994 1.96 ----- 1tnh.pdf 122.188
3pce 2.06 1998 2.00 ----- 3pcb.pdf 152.147
1qq9 1.53 2000 2.06 ----- 1qq9.pdf 150.219
1rdi 1.80 1996 2.06 ----- 1rdi.pdf 178.183
1njj 2.45 2003 2.10 ----- 1njj.pdf 500.584
4tim 2.40 1992 2.16 ----- 4tim.pdf 187.065
1fkx 2.40 1996 2.22 ----- 1fkw.pdf 474.550
1icj 1.90 1999 2.22 ----- 1icj.pdf 414.488
1m0n 2.20 2002 2.22 ----- 1m0n.pdf 396.270
2aac 1.60 1997 2.22 ----- 2aac.pdf 164.156
1ajp 2.31 1997 2.23 ----- 1ai4.pdf 168.147
1rdl 1.70 1996 2.24 ----- 1rdi.pdf 180.156
1ps3 1.80 2003 2.28 ----- 1ps3.pdf 232.191
1cru 1.50 2000 2.30 ----- 1cru.pdf 474.550
3pcg 1.96 1998 2.30 ----- 3pcb.pdf 152.147
1m0o 2.40 2002 2.31 ----- 1m0n.pdf 384.259
1qi0 2.10 2000 2.35 ----- 1qi0.pdf 342.296
6rnt 1.80 1993 2.37 ----- 6rnt.pdf 348.229
1f73 1.95 2000 2.39 ----- 1f73.pdf 311.286
1nwl 2.40 2003 2.39 ----- 1nwe.pdf 469.578
3pcb 2.19 1998 2.40 ----- 3pcb.pdf 138.121
1gyx 1.35 2002 2.48 ----- 1gyx.pdf 122.121
1ai4 2.35 1997 2.50 ----- 1ai4.pdf 168.147
1iup 1.60 2002 2.54 ----- 1iup.pdf 88.105
1kf0 2.50 2002 2.55 ----- 1kf0.pdf 508.232
1ajn 2.36 1997 2.63 ----- 1ai4.pdf 181.145
1o8b 1.25 2003 2.68 ----- 1o8b.pdf 231.118
1br5 2.50 1998 2.70 ----- 1br5.pdf 253.215
1dg9 1.90 1999 2.74 ----- 1dg9.pdf 240.320
2qwb 2.00 1998 2.74 ----- 2qwb.pdf 309.270
2bza 1.90 1999 2.80 ----- 1ce5.pdf 108.161
1cet 2.05 1999 2.89 ----- 1cet.pdf 320.880
1iih 2.20 2001 2.89 ----- 1iig.pdf 187.065
2pri 2.30 1998 2.91 ----- 2pri.pdf 245.144
1p6e 2.30 2003 2.92 ----- 1p6d.pdf 458.593
1tng 1.80 1994 2.93 ----- 1tnh.pdf 114.209
1p6d 2.00 2003 2.94 ----- 1p6d.pdf 453.550
1f4e 1.90 2000 2.96 ----- 1f4c.pdf 269.317
1m0q 2.00 2002 2.96 ----- 1m0n.pdf 356.206
1ecq 2.00 2000 3.00 ----- 1ec8.pdf 194.139
1e70 1.65 2001 3.05 ----- 1e6q.pdf 474.550
1f74 1.60 2000 3.05 ----- 1f73.pdf 293.270
1ec9 2.00 2000 3.10 ----- 1ec8.pdf 195.127
1ax0 1.90 1998 3.13 ----- 1ax0.pdf 221.208
1e6q 1.35 2001 3.15 ----- 1e6q.pdf 203.176
1axz 1.95 1998 3.20 ----- 1ax0.pdf 180.156
6tim 2.20 1992 3.21 ----- 6tim.pdf 173.082
1br6 2.30 1998 3.22 ----- 1br5.pdf 312.283
1e6s 1.35 2000 3.22 ----- 1e6q.pdf 192.170
1evh 1.80 1999 3.22 ----- 1evh.pdf 595.687
1k1y 2.40 2003 3.22 ----- 1k1y.pdf 646.613
1l5s 2.10 2002 3.26 ----- 1l5q.pdf 168.110
5yas 2.20 1999 3.26 ----- 4yas.pdf 184.037
